id,campaigncoop,checksum,dropin,game,lancoop,offlinecoop,offlinecoopmax,offlinemax,onlinecoop,onlinecoopmax,onlinemax,platform,splitscreen,splitscreenonline
9953,False,1b94d937-dc0c-c62d-10af-e58d42860bd8,False,92273,False,False,,2,False,,,22,False,
1832,True,2b09f64f-b8b9-6948-ad98-9ab9bede8e3b,True,7153,False,True,2,0,False,0,0,12,False,
7987,False,56c9ee4c-aae3-ba3c-ead0-9e899e1c5267,False,57887,False,True,0,2,False,0,0,49,False,
7,False,a41bcf9c-976d-8690-629f-4c2737f65bf1,False,46076,False,False,,30,False,,,6,False,
10207,False,788009fd-9e08-5826-577b-9844575ba2d9,False,31256,False,False,,,False,,,82,False,
8224,False,9f1541b2-29cf-7c8e-381e-a237f2db03de,False,41858,False,True,0,2,True,0,6,49,False,
8246,False,537d184c-9256-1128-3e0a-5517725339b9,False,82419,False,False,0,0,True,0,2,49,False,
9247,False,425f036b-4eb8-0391-4931-4c5a42f8e7e6,False,83341,False,False,,,True,2,6,6,False,
8258,False,9301b2d9-5d3e-d3e5-fe9f-87df1b19f238,False,11651,False,True,0,4,False,0,0,49,False,
8273,False,b3ca196b-bf6e-88fc-321e-eb8a30f0b22c,False,13554,False,False,0,0,True,0,2,49,False,
8278,False,293ec625-8005-1232-abc2-4fec0b1788f2,False,9179,False,False,0,0,True,0,5,49,False,
10832,True,869e5db2-d3ef-3326-4061-b8f9c179fb6f,True,11605,False,True,2,2,False,,,6,False,
8335,False,3510ce6c-c7d1-a02d-2d5c-441fb5d20cdb,False,1121,False,False,0,0,True,0,8,49,False,
8345,False,aa5b58ad-5010-6870-1f9d-1cbe6c591118,False,10919,False,False,0,0,False,0,2,49,False,
10984,False,2c795030-9c2f-da18-8228-c03c08bf54ab,False,135171,False,False,,,False,,,32,False,
10358,True,646809c1-71d3-009f-de1c-017a12185f54,False,132152,False,True,2,2,False,,,48,True,
8387,False,238e62f6-7513-f9bf-2bef-cbe125b12486,False,83779,False,False,,,False,,,34,False,
10818,True,a5d488ae-ee95-d5c4-b243-9e02e6f2e55d,False,53787,False,False,,,True,2,2,6,False,
10532,False,f71feab5-2c88-70b2-7cab-82f0cbcb3a87,False,133334,False,False,,,True,4,6,6,False,
9569,False,23801cec-e0ec-6c63-b89b-8e8aee18cb25,False,119238,False,False,,,False,,,6,False,
10581,False,b0606e3f-2a00-61de-d3f7-57e2e92253b5,False,4271,False,False,,2,False,,,52,False,
10582,False,d095c1b0-7bc0-a35e-7c59-665369b0cc2d,False,4271,False,False,,2,False,,,19,False,
9587,False,e67892a4-d813-0548-64af-46951c90fdee,True,109462,True,True,4,4,True,8,8,130,True,
